ssn,id,first_name,last_name,email,gender,ip_address,address,city,state,zip
287-43-8531,1,Cooper,Luffman,cluffman0@nifty.com,Male,194.222.101.195,2 Killdeer Way,Atlanta,Georgia,30343
892-80-0931,2,Grata,Pulteneye,gpulteneye1@taobao.com,Female,161.4.88.129,486 Butterfield Crossing,Washington,District of Columbia,20503
502-50-6643,3,Rogerio,Glover,rglover2@nps.gov,Male,88.58.129.152,3 Granby Circle,Sacramento,California,94280
238-57-8444,4,Melisandra,Gunstone,mgunstone3@gnu.org,Female,56.162.161.35,68294 Schiller Lane,Washington,District of Columbia,20319
127-05-5515,5,Michail,McKune,mmckune4@sina.com.cn,Male,69.210.227.104,2 Bayside Way,Birmingham,Alabama,35263
214-11-1791,6,Bari,Mont,bmont5@vkontakte.ru,Female,208.57.174.207,6837 Sugar Court,Los Angeles,California,90015
501-58-1290,7,Sollie,Angear,sangear6@disqus.com,Male,39.78.158.172,0 Portage Center,Hartford,Connecticut,6145
242-23-0804,8,Retha,Dyka,rdyka7@facebook.com,Female,254.159.96.156,1 Sauthoff Lane,Pompano Beach,Florida,33064
898-84-8195,9,Nerissa,Thorwarth,nthorwarth8@oakley.com,Female,106.219.0.76,9248 Eagle Crest Point,Louisville,Kentucky,40287
847-36-7026,10,Northrop,Mayward,nmayward9@1und1.de,Male,134.119.127.126,31529 Miller Park,Springfield,Massachusetts,1105
394-82-0761,11,Louie,Smardon,lsmardona@tuttocitta.it,Male,44.167.116.7,25 Eagan Hill,Columbus,Ohio,43268
508-71-4162,12,Glory,Allicock,gallicockb@xinhuanet.com,Female,69.33.63.151,7992 Independence Lane,Mobile,Alabama,36622
575-42-0687,13,Tremayne,Millwater,tmillwaterc@hao123.com,Male,80.238.155.146,5 Oriole Place,Atlanta,Georgia,30336
333-97-9221,14,Eulalie,Raithmill,eraithmilld@angelfire.com,Female,164.143.136.37,9146 Vera Park,Lakeland,Florida,33805
